,page,text,x1,y1,x2,y2,x3,y3,x4,y4,line_no,isHeader,isFooter
1606,42,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1644,43,tl AustLll AustLll AustL,0.0333,10.761,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,37.0,False,True
1645,43,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,38.0,False,True
1685,44,tl AustLll AustLll AustL,0.0333,10.761,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,39.0,False,True
1686,44,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,40.0,False,True
1722,45,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,35.0,False,True
1723,45,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,36.0,False,True
1758,46,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,34.0,False,True
1759,46,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,35.0,False,True
1797,47,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,37.0,False,True
1798,47,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,38.0,False,True
1835,48,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,36.0,False,True
1836,48,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
1873,49,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9569,11.1077,0.0167,11.2444,36.0,False,True
1874,49,Retrieved from AustLll on 20 January 2021 at 20:26:51 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,37.0,False,True
1895,50,2019,3.5498,6.6918,3.8724,6.6918,3.8724,6.8066,3.5498,6.8066,20.0,False,True
1898,50,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,23.0,False,True
1899,50,Retrieved from AustLII on 20 January 2021 at 20:26:51 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,24.0,False,True
39,0,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,39.0,False,True
40,0,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,40.0,False,True
60,1,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,19.0,False,True
61,1,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,20.0,False,True
89,2,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,27.0,False,True
90,2,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,28.0,False,True
125,3,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,34.0,False,True
126,3,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,35.0,False,True
161,4,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,34.0,False,True
162,4,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,35.0,False,True
196,5,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.531,3.9536,11.1077,0.0167,11.2444,33.0,False,True
197,5,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,34.0,False,True
238,6,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9536,11.1077,0.0167,11.2444,40.0,False,True
239,6,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,41.0,False,True
279,7,stL. AustLll AustLll AustL,0.0067,10.7544,3.9269,10.5277,3.9536,11.1077,0.0167,11.2444,39.0,False,True
280,7,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,40.0,False,True
316,8,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,35.0,False,True
317,8,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,36.0,False,True
353,9,tl. AustLll AustLll AustL,0.0333,10.7577,3.8403,10.5677,3.8636,11.1311,0.04,11.2411,35.0,False,True
354,9,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,36.0,False,True
391,10,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,36.0,False,True
392,10,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,37.0,False,True
435,11,stL. AustLll AustLll AustL,0.0067,10.7577,3.9403,10.5243,3.9669,11.1044,0.0167,11.2411,42.0,False,True
436,11,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,43.0,False,True
474,12,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,37.0,False,True
475,12,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,38.0,False,True
512,13,tl. AustLll AustLll AustL,0.0333,10.7577,3.8403,10.5677,3.8636,11.1311,0.04,11.2411,36.0,False,True
513,13,Retrieved from AustLII on 20 January 2021 at 20:26:44 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,37.0,False,True
546,14,tl AustLll AustLll AustL,0.0333,10.7644,3.9469,10.5277,3.9736,11.1011,0.0433,11.2411,32.0,False,True
547,14,Retrieved from AustLll on 20 January 2021 at 20:26:44 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4478,0.2767,11.4511,33.0,False,True
21,0,th Austell AustLII AustLI,0.0333,10.7644,3.9569,10.521,3.9869,11.0977,0.0433,11.2444,21.0,False,True
22,0,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,22.0,False,True
46,1,th Austell AustLII AustLI,0.0333,10.7644,3.9569,10.521,3.9869,11.0977,0.0433,11.2444,23.0,False,True
47,1,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,24.0,False,True
84,2,3,1.2564,10.5118,1.2995,10.5118,1.2995,10.5905,1.2564,10.5905,36.0,False,True
86,2,4,1.2536,10.7097,1.305,10.7097,1.305,10.7872,1.2536,10.7872,38.0,False,True
88,2,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,40.0,False,True
131,3,10,1.2651,10.5118,1.3674,10.5118,1.3674,10.5905,1.2651,10.5905,42.0,False,True
133,3,11,1.2651,10.7097,1.3575,10.7097,1.3575,10.7872,1.2651,10.7872,44.0,False,True
135,3,Retrieved from AustLll on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,46.0,False,True
176,4,th Austell AustLII AustLI,0.0333,10.7644,3.9569,10.521,3.9869,11.0977,0.0433,11.2444,40.0,False,True
177,4,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,41.0,False,True
213,5,th Austell AustLII AustLI,0.0333,10.7644,3.9569,10.521,3.9869,11.0977,0.0433,11.2444,35.0,False,True
214,5,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,36.0,False,True
249,6,tl AustLll AustLll AustL 12 Transcript of proceedings 6 October 2020 page 4,0.0267,10.7097,4.3895,10.6143,4.3895,11.1444,0.0333,11.2344,34.0,False,True
250,6,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4478,35.0,False,True
287,7,15 Transcript of proceedings 6 October 2020 page 4,1.2651,10.3239,4.3999,10.3239,4.3999,10.5145,1.2651,10.5145,36.0,False,True
288,7,16 Transcript of proceedings 6 October 2020 page 5,1.2651,10.5118,4.3764,10.5118,4.3764,10.7023,1.2651,10.7023,37.0,False,True
289,7,tl. AustLll AustLll AustL 17 Transcript of proceedings 6 October 2020 page.6,0.0333,10.7097,4.3744,10.5277,4.3744,11.1011,0.0433,11.2411,38.0,False,True
290,7,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,39.0,False,True
323,8,19 Transcript of proceedings 6 October 2020 page 50,1.2651,10.3448,4.4594,10.3448,4.4594,10.5353,1.2651,10.5353,32.0,False,True
324,8,20 Transcript of proceedings 6 October 2020 page 81,1.2538,10.5696,4.4086,10.5696,4.4086,10.7127,1.2538,10.7127,33.0,False,True
326,8,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,35.0,False,True
365,9,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,38.0,False,True
403,10,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,37.0,False,True
440,11,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,36.0,False,True
478,12,Retrieved from AustLII on 20 January 2021 at 20:26:41 Verify version,0.2767,11.2811,8.0039,11.2811,8.0039,11.4511,0.2767,11.4511,37.0,False,True
24,0,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,24.0,False,True
25,0,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,25.0,False,True
48,1,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,22.0,False,True
49,1,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,23.0,False,True
89,2,tl AustLll AustLll AustL,0.0333,10.7644,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,39.0,False,True
90,2,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,40.0,False,True
126,3,tl AustLll AustLll AustL,0.0333,10.7644,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,35.0,False,True
127,3,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,36.0,False,True
169,4,tl. AustLll AustLll AustL,0.0333,10.761,3.8403,10.5677,3.8636,11.1277,0.04,11.2411,41.0,False,True
170,4,Retrieved from AustLII on 20 January 2021 at 20:26:37 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4511,0.2734,11.4511,42.0,False,True
207,5,tl AustLll AustLll AustL,0.0333,10.7644,3.9436,10.5277,3.9703,11.1011,0.0433,11.2444,36.0,False,True
208,5,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,37.0,False,True
246,6,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9869,11.0977,0.0433,11.2444,37.0,False,True
247,6,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,38.0,False,True
285,7,tl AustLll AustLll AustL,0.0333,10.7644,3.9436,10.5277,3.9703,11.1011,0.0433,11.2444,37.0,False,True
286,7,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,38.0,False,True
325,8,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.5177,3.9836,11.0944,0.0433,11.2444,38.0,False,True
326,8,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,39.0,False,True
368,9,tl AustLll AustLll AustLl,0.0333,10.7644,3.9569,10.521,3.9836,11.0944,0.0433,11.2444,41.0,False,True
369,9,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,42.0,False,True
408,10,stL. AustLll AustLll AustL,0.0067,10.7577,3.9269,10.5343,3.9536,11.1111,0.0167,11.2444,38.0,False,True
409,10,Retrieved from AustLII on 20 January 2021 at 20:26:37 Verify version,0.2734,11.2811,8.0039,11.2811,8.0039,11.4478,0.2734,11.4511,39.0,False,True
447,11,tl AustLll AustLll AustL,0.0333,10.7644,3.9403,10.5277,3.9669,11.1011,0.0433,11.2411,37.0,False,True
448,11,Retrieved from AustLll on 20 January 2021 at 20:26:37 Verify version,0.2767,11.2811,8.0039,11.2777,8.0039,11.4511,0.2767,11.4511,38.0,False,True
